herb,marker_compound,smiles,formula_verified,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,FractionCSP3,NumHeteroatoms,MolarRefractivity,RingCount,hc_signed,hot_cold_label,herb_pinyin,tcm_property,tcm_property_numeric,avg_atomic_radius,atomic_radius_coverage,avg_covalent_radius,covalent_radius_coverage,avg_electronegativity_pauling,electronegativity_pauling_coverage,avg_first_ionization_energy,first_ionization_energy_coverage,avg_electron_affinity,electron_affinity_coverage,avg_dipole_polarizability,dipole_polarizability_coverage,avg_density,density_coverage,avg_melting_point,melting_point_coverage,avg_thermal_conductivity,thermal_conductivity_coverage,electronegativity_spread,total_atoms,unique_elements
Willow bk,salicin,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,C13H18O7,286.28,-1.642,119.61,5,7,4,1,0.538,7,66.76,2,-7.0,-7.0,,,,46.8421052631579,38/38 atoms had data,51.81578947368421,38/38 atoms had data,2.548157894736842,38/38 atoms had data,12.802158897169683,38/38 atoms had data,1.058180302631579,38/38 atoms had data,6.977052105263159,38/38 atoms had data,0.7529113684210527,38/38 atoms had data,1323.5731578947368,38/38 atoms had data,0.6348947368421053,38/38 atoms had data,1.2399999999999998,38,3
,menthol,CC1CCC(C(C1)O)C(C)C,C10H20O,156.27,2.44,20.23,1,1,1,0,1.0,1,47.35,1,,-1.0,bo he,cool,-1.0,40.645161290322584,31/31 atoms had data,45.67741935483871,31/31 atoms had data,2.3529032258064517,31/31 atoms had data,12.844828842023224,31/31 atoms had data,0.9408452741935484,31/31 atoms had data,6.723941935483872,31/31 atoms had data,0.7097725161290322,31/31 atoms had data,1243.0645161290322,31/31 atoms had data,0.6308709677419355,31/31 atoms had data,1.2399999999999998,31,3
,chlorogenic acid,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,-0.646,164.75,6,8,4,1,0.375,9,82.52,2,,-2.0,jin yin hua,cold,-2.0,49.06976744186046,43/43 atoms had data,53.95348837209303,43/43 atoms had data,2.5897674418604653,43/43 atoms had data,12.732535676568558,43/43 atoms had data,1.0911496627906976,43/43 atoms had data,7.200650697674418,43/43 atoms had data,0.8189127441860465,43/43 atoms had data,1438.7297674418603,43/43 atoms had data,0.6732558139534883,43/43 atoms had data,1.2399999999999998,43,3
,glycyrrhizin,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,C42H62O16,822.94,2.246,267.04,8,13,7,0,0.857,16,199.44,7,,0.0,gan cao,even,0.0,45.416666666666664,120/120 atoms had data,50.36666666666667,120/120 atoms had data,2.4878333333333336,120/120 atoms had data,12.7827017026536,120/120 atoms had data,1.0262242,120/120 atoms had data,6.990340166666666,120/120 atoms had data,0.7702167666666667,120/120 atoms had data,1351.5451666666665,120/120 atoms had data,0.653875,120/120 atoms had data,1.2399999999999998,120,3
,emodin,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,C15H10O5,270.24,1.887,94.83,3,5,0,2,0.067,5,69.48,3,,-2.0,da huang,cold,-2.0,53.333333333333336,30/30 atoms had data,57.833333333333336,30/30 atoms had data,2.5816666666666666,30/30 atoms had data,12.432635001711999,30/30 atoms had data,1.12597675,30/30 atoms had data,8.035703333333334,30/30 atoms had data,1.1002453333333333,30/30 atoms had data,1923.8033333333333,30/30 atoms had data,0.8600000000000001,30/30 atoms had data,1.2399999999999998,30,3
,ephedrine,C[C@@H]([C@@H](C1=CC=CC=C1)O)NC,C10H15NO,165.24,1.328,32.26,2,2,3,1,0.4,2,49.92,1,,1.5,ma huang,warm,1.5,44.44444444444444,27/27 atoms had data,49.333333333333336,27/27 atoms had data,2.4066666666666667,27/27 atoms had data,12.767839039890372,27/27 atoms had data,0.8887121666666666,27/27 atoms had data,7.1595055555555565,27/27 atoms had data,0.8149512222222223,27/27 atoms had data,1426.971851851852,27/27 atoms had data,0.6916851851851853,27/27 atoms had data,1.2399999999999998,27,4
,ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C10H10O4,194.19,1.499,66.76,2,3,3,1,0.1,4,51.33,1,,1.5,dang gui,warm,1.5,49.583333333333336,24/24 atoms had data,54.333333333333336,24/24 atoms had data,2.5524999999999998,24/24 atoms had data,12.627479835473332,24/24 atoms had data,1.08364975,24/24 atoms had data,7.4696291666666665,24/24 atoms had data,0.9169188333333333,24/24 atoms had data,1606.6374999999998,24/24 atoms had data,0.742625,24/24 atoms had data,1.2399999999999998,24,3
,hesperidin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,C28H34O15,610.57,-1.157,234.29,8,15,7,2,0.536,15,140.7,5,,1.5,chen pi,warm,1.5,48.18181818181818,77/77 atoms had data,53.09090909090909,77/77 atoms had data,2.5688311688311685,77/77 atoms had data,12.752024080189923,77/77 atoms had data,1.0766060324675324,77/77 atoms had data,7.131710909090909,77/77 atoms had data,0.8002910129870132,77/77 atoms had data,1405.9524675324674,77/77 atoms had data,0.6635844155844156,77/77 atoms had data,1.2399999999999998,77,3
,rutin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,C27H30O16,610.52,-1.687,269.43,10,16,6,3,0.444,16,140.2,5,,-2.0,sang ye,cold,-2.0,49.31506849315068,73/73 atoms had data,54.205479452054796,73/73 atoms had data,2.6012328767123285,73/73 atoms had data,12.737943508959999,73/73 atoms had data,1.0969983424657535,73/73 atoms had data,7.193332876712328,73/73 atoms had data,0.8140190136986302,73/73 atoms had data,1430.6452054794522,73/73 atoms had data,0.6685890410958905,73/73 atoms had data,1.2399999999999998,73,3
,betaine, C[N+](C)(C)CC(=O)[O-],C5H11NO2,117.15,-1.557,40.13,0,2,2,0,0.8,3,27.91,0,,0.0,gou qi zi,even,0.0,42.63157894736842,19/19 atoms had data,47.8421052631579,19/19 atoms had data,2.466842105263158,19/19 atoms had data,13.034446950341895,19/19 atoms had data,0.848893,19/19 atoms had data,6.5304321052631575,19/19 atoms had data,0.5791927894736841,19/19 atoms had data,1022.4736842105264,19/19 atoms had data,0.5277105263157895,19/19 atoms had data,1.2399999999999998,19,4
,baicalin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,C21H18O11,446.36,0.142,187.12,6,10,4,3,0.238,11,106.19,4,,-2.0,huang qin,cold,-2.0,51.6,50/50 atoms had data,56.34,50/50 atoms had data,2.6198,50/50 atoms had data,12.62073244184896,50/50 atoms had data,1.12304515,50/50 atoms had data,7.5345596,50/50 atoms had data,0.9243172799999999,50/50 atoms had data,1621.4995999999999,50/50 atoms had data,0.73908,50/50 atoms had data,1.2399999999999998,50,3
,eucalyptol,CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,2.744,9.23,0,1,0,0,1.0,1,45.53,3,,1.5,ai ye,warm,1.5,41.724137931034484,29/29 atoms had data,46.689655172413794,29/29 atoms had data,2.3634482758620687,29/29 atoms had data,12.79285607215338,29/29 atoms had data,0.9537177068965517,29/29 atoms had data,6.876826896551724,29/29 atoms had data,0.7587166896551725,29/29 atoms had data,1327.8268965517243,29/29 atoms had data,0.6618620689655174,29/29 atoms had data,1.2399999999999998,29,3
,limonene,CC1=CCC(CC1)C(=C)C,C10H16,136.24,3.309,0.0,0,0,1,0,0.6,0,45.91,1,,1.5,qing pi,warm,1.5,42.30769230769231,26/26 atoms had data,47.15384615384615,26/26 atoms had data,2.3346153846153848,26/26 atoms had data,12.699150157006768,26/26 atoms had data,0.9495503846153847,26/26 atoms had data,7.11976,26/26 atoms had data,0.8462043076923076,26/26 atoms had data,1477.852307692308,26/26 atoms had data,0.7232307692307693,26/26 atoms had data,0.34999999999999964,26,2
,arecoline,CN1CCC=C(C1)C(=O)OC,C8H13NO2,155.2,0.421,29.54,0,3,1,0,0.625,3,42.21,1,,1.5,bin lang,warm,1.5,44.583333333333336,24/24 atoms had data,49.583333333333336,24/24 atoms had data,2.455,24/24 atoms had data,12.859677002782,24/24 atoms had data,0.89265475,24/24 atoms had data,6.958017916666667,24/24 atoms had data,0.7335344583333335,24/24 atoms had data,1288.1258333333333,24/24 atoms had data,0.6316458333333334,24/24 atoms had data,1.2399999999999998,24,4
,magnolol,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,C18H18O2,266.34,4.222,40.46,2,2,5,2,0.111,2,83.01,2,,1.5,hou pu,warm,1.5,48.1578947368421,38/38 atoms had data,52.73684210526316,38/38 atoms had data,2.431052631578947,38/38 atoms had data,12.49192758138021,38/38 atoms had data,1.0319968157894737,38/38 atoms had data,7.766525789473685,38/38 atoms had data,1.0422129473684212,38/38 atoms had data,1818.9942105263158,38/38 atoms had data,0.8405526315789473,38/38 atoms had data,1.2399999999999998,38,3
,menthone,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,C10H18O,154.25,2.648,17.07,0,1,1,0,0.9,1,46.35,1,,1.0,jing jie,mildly warm,1.0,41.724137931034484,29/29 atoms had data,46.689655172413794,29/29 atoms had data,2.3634482758620687,29/29 atoms had data,12.79285607215338,29/29 atoms had data,0.9537177068965517,29/29 atoms had data,6.876826896551724,29/29 atoms had data,0.7587166896551725,29/29 atoms had data,1327.8268965517243,29/29 atoms had data,0.6618620689655174,29/29 atoms had data,1.2399999999999998,29,3
,indigo,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,C16H10N2O2,262.27,2.658,58.2,2,3,0,2,0.0,4,76.39,4,,-2.0,ban lan gen,cold,-2.0,54.0,30/30 atoms had data,58.4,30/30 atoms had data,2.525333333333333,30/30 atoms had data,12.415114801712,30/30 atoms had data,0.9286027,30/30 atoms had data,8.375703333333334,30/30 atoms had data,1.1735242000000001,30/30 atoms had data,2049.8759999999997,30/30 atoms had data,0.9120333333333334,30/30 atoms had data,1.2399999999999998,30,4
,formononetin,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,C16H12O4,268.27,3.174,59.67,1,4,2,3,0.062,4,76.14,3,,1.0,huang qi,mildly warm,1.0,51.875,32/32 atoms had data,56.375,32/32 atoms had data,2.5300000000000002,32/32 atoms had data,12.431817501926,32/32 atoms had data,1.0965218125,32/32 atoms had data,8.00266625,32/32 atoms had data,1.1001942500000002,32/32 atoms had data,1922.10375,32/32 atoms had data,0.8664375000000001,32/32 atoms had data,1.2399999999999998,32,3
,thymoquinone,CC1=CC(=O)C(=CC1=O)C(C)C,C10H12O2,164.2,1.667,34.14,0,2,1,0,0.4,2,46.69,1,,-2.0,bo zi ren,cold,-2.0,46.666666666666664,24/24 atoms had data,51.416666666666664,24/24 atoms had data,2.449166666666667,24/24 atoms had data,12.625844835901333,24/24 atoms had data,1.0247398749999999,24/24 atoms had data,7.403555,24/24 atoms had data,0.9168166666666666,24/24 atoms had data,1603.2383333333335,24/24 atoms had data,0.7555,24/24 atoms had data,1.2399999999999998,24,3
,geniposide,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1CC=C2CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C17H24O10,388.37,-2.229,155.14,5,10,5,0,0.706,10,86.59,3,,-2.0,zhi zi,cold,-2.0,46.86274509803921,51/51 atoms had data,51.86274509803921,51/51 atoms had data,2.5598039215686277,51/51 atoms had data,12.822901727907135,51/51 atoms had data,1.0621144705882353,51/51 atoms had data,6.9268752941176475,51/51 atoms had data,0.7336283921568628,51/51 atoms had data,1290.6713725490195,51/51 atoms had data,0.6207058823529412,51/51 atoms had data,1.2399999999999998,51,3
,arctigenin,COC1=C(C=C(C=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC(=C(C=C3)O)OC)OC,C21H24O6,372.42,2.992,74.22,1,6,7,2,0.381,6,99.55,3,,-2.0,niu bang zi,cold,-2.0,47.64705882352941,51/51 atoms had data,52.411764705882355,51/51 atoms had data,2.4899999999999998,51/51 atoms had data,12.637979531828705,51/51 atoms had data,1.0465070588235292,51/51 atoms had data,7.397463529411765,51/51 atoms had data,0.9060748235294118,51/51 atoms had data,1585.9811764705885,51/51 atoms had data,0.7432941176470589,51/51 atoms had data,1.2399999999999998,51,3
,rosmarinic acid,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,C18H16O8,360.32,1.761,144.52,5,7,6,2,0.111,8,89.8,2,,-2.0,xia ku cao,cold,-2.0,50.95238095238095,42/42 atoms had data,55.666666666666664,42/42 atoms had data,2.586190476190476,42/42 atoms had data,12.600112001956571,42/42 atoms had data,1.1065278571428572,42/42 atoms had data,7.569375238095238,42/42 atoms had data,0.9431375238095238,42/42 atoms had data,1652.9180952380952,42/42 atoms had data,0.7557142857142858,42/42 atoms had data,1.2399999999999998,42,3
,paeoniflorin,C[C@]12C[C@@]3([C@@H]4C[C@]1([C@@]4([C@H](O2)O3)COC(=O)C5=CC=CC=C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O,C23H28O11,480.47,-1.357,164.37,5,11,6,1,0.696,11,108.78,8,,-1.5,bai shao,mildly cold,-1.5,47.903225806451616,62/62 atoms had data,52.79032258064516,62/62 atoms had data,2.5498387096774193,62/62 atoms had data,12.73454119586787,62/62 atoms had data,1.068039443548387,62/62 atoms had data,7.167727096774194,62/62 atoms had data,0.8163981290322581,62/62 atoms had data,1433.1464516129033,62/62 atoms had data,0.6765967741935484,62/62 atoms had data,1.2399999999999998,62,3
,berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,C20H18NO4+,336.36,3.62,40.8,0,5,2,3,0.1,5,92.5,5,,-2.0,huang lian,cold,-2.0,50.116279069767444,43/43 atoms had data,54.72093023255814,43/43 atoms had data,2.4976744186046513,43/43 atoms had data,12.53451344401042,43/43 atoms had data,1.0061010232558139,43/43 atoms had data,7.807627441860464,43/43 atoms had data,1.023438441860465,43/43 atoms had data,1789.178372093023,43/43 atoms had data,0.8186279069767441,43/43 atoms had data,1.2399999999999998,43,4
,andrographolide,C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2C/C=C/3\\[C@@H](COC3=O)O)(C)CO)O,C20H30O5,350.45,1.23,86.99,3,5,4,0,0.65,5,95.2,3,,-2.0,chuan xin lian,cold,-2.0,44.54545454545455,55/55 atoms had data,49.45454545454545,55/55 atoms had data,2.44,55/55 atoms had data,12.749985639165091,55/55 atoms had data,1.0031599545454546,55/55 atoms had data,7.049332727272727,55/55 atoms had data,0.8001636363636364,55/55 atoms had data,1401.7145454545455,55/55 atoms had data,0.6796363636363637,55/55 atoms had data,1.2399999999999998,55,3
,salvianolic acid B,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=C3C(C(OC3=C(C=C2)O)C4=CC(=C(C=C4)O)O)C(=O)OC(CC5=CC(=C(C=C5)O)O)C(=O)O)O)O,C36H30O16,718.62,2.85,269.0,10,16,10,4,0.222,16,198.5,6,,0.0,dan shen,neutral,0.0,51.58536585365854,82/82 atoms had data,56.26829268292683,82/82 atoms had data,2.595609756097561,82/82 atoms had data,12.575762684805854,82/82 atoms had data,1.1151213414634147,82/82 atoms had data,7.644064634146342,82/82 atoms had data,0.9661388780487805,82/82 atoms had data,1692.8914634146338,82/82 atoms had data,0.769719512195122,82/82 atoms had data,1.2399999999999998,82,3
,aconitine,CCN1C[C@@]2([C@@H](C[C@@H]([C@@]34[C@@H]2[C@H]([C@@H](C31)[C@@]5([C@@H]6[C@H]4C[C@@]([C@@H]6OC(=O)C7=CC=CC=C7)([C@H]([C@@H]5O)OC)O)OC(=O)C)OC)OC)O)COC,C34H47NO11,645.74,2.15,145.0,6,12,10,1,0.647,12,175.5,6,,3.0,fu zi,hot,3.0,46.02150537634409,93/93 atoms had data,50.924731182795696,93/93 atoms had data,2.4836559139784944,93/93 atoms had data,12.756012755283786,93/93 atoms had data,1.0003382741935483,93/93 atoms had data,7.115421182795698,93/93 atoms had data,0.8045095376344087,93/93 atoms had data,1410.8017204301075,93/93 atoms had data,0.676489247311828,93/93 atoms had data,1.2399999999999998,93,4
,tanshinone iia,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,C19H18O3,294.34,3.45,34.1,0,3,0,3,0.158,3,88.5,4,,1.0,dan shen variant,warm,1.0,49.0,40/40 atoms had data,53.575,40/40 atoms had data,2.45925,40/40 atoms had data,12.4892899523112,40/40 atoms had data,1.0484777875,40/40 atoms had data,7.7931995,40/40 atoms had data,1.045135,40/40 atoms had data,1824.9144999999996,40/40 atoms had data,0.8389500000000002,40/40 atoms had data,1.2399999999999998,40,3
,astragaloside iv,CC1(C(CCC23C1C(CC4C2(C3)CCC5(C4(CC(C5C6(CCC(O6)C(C)(C)O)C)O)C)C)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(CO8)O)O)O)C,C41H68O14,784.97,1.85,220.0,8,14,12,0,0.707,14,195.5,6,,1.0,huang qi variant,mildly warm,1.0,43.983739837398375,123/123 atoms had data,48.983739837398375,123/123 atoms had data,2.457804878048781,123/123 atoms had data,12.821287840237789,123/123 atoms had data,1.003965268292683,123/123 atoms had data,6.86165430894309,123/123 atoms had data,0.7335275447154471,123/123 atoms had data,1287.3160975609755,123/123 atoms had data,0.6334146341463415,123/123 atoms had data,1.2399999999999998,123,3
,artemisinin,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,C15H22O5,282.34,2.35,57.15,0,5,0,0,0.8,5,72.5,3,,-2.0,qing hao,cold,-2.0,45.23809523809524,42/42 atoms had data,50.166666666666664,42/42 atoms had data,2.4726190476190477,42/42 atoms had data,12.765720431261714,42/42 atoms had data,1.0197533928571427,42/42 atoms had data,7.02753380952381,42/42 atoms had data,0.7859129523809524,42/42 atoms had data,1378.1480952380953,42/42 atoms had data,0.6661428571428571,42/42 atoms had data,1.2399999999999998,42,3
,6-shogaol,CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC,C17H24O3,276.37,3.45,46.53,1,3,8,1,0.529,3,82.1,1,,2.0,sheng jiang variant,hot,2.0,44.77272727272727,44/44 atoms had data,49.61363636363637,44/44 atoms had data,2.4197727272727274,44/44 atoms had data,12.69640023007418,44/44 atoms had data,0.9986373522727273,44/44 atoms had data,7.185696363636364,44/44 atoms had data,0.8501339090909091,44/44 atoms had data,1487.2872727272727,44/44 atoms had data,0.7151590909090909,44/44 atoms had data,1.2399999999999998,44,3
,crataegolic acid,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)O)C,C30H48O4,456.71,6.85,57.53,2,3,1,4,0.8,3,135.2,5,,0.0,shan zha,neutral,0.0,43.170731707317074,82/82 atoms had data,48.073170731707314,82/82 atoms had data,2.388536585365854,82/82 atoms had data,12.743974734713758,82/82 atoms had data,0.9745046829268293,82/82 atoms had data,7.030991219512195,82/82 atoms had data,0.8049898536585366,82/82 atoms had data,1408.4351219512193,82/82 atoms had data,0.6892682926829269,82/82 atoms had data,1.2399999999999998,82,3
,atractylenolide ii,CC1=C2CC3C(=C)CCCC3(CC2OC1=O)C,C15H20O2,232.32,3.65,26.3,0,2,0,1,0.6,2,68.5,2,,1.5,bai zhu,warm,1.5,45.13513513513514,37/37 atoms had data,49.91891891891892,37/37 atoms had data,2.4089189189189186,37/37 atoms had data,12.651600759532974,37/37 atoms had data,0.998321945945946,37/37 atoms had data,7.303843243243244,37/37 atoms had data,0.892006918918919,37/37 atoms had data,1559.1837837837836,37/37 atoms had data,0.7441621621621621,37/37 atoms had data,1.2399999999999998,37,3
,gentiopicroside,C=CC1C(OC=C2C1=CCOC2=O)OC3C(C(C(C(O3)CO)O)O)O,C16H20O9,356.33,-1.85,158.0,6,9,5,1,0.625,9,85.2,3,,-2.0,long dan cao,cold,-2.0,48.0,45/45 atoms had data,52.93333333333333,45/45 atoms had data,2.5724444444444443,45/45 atoms had data,12.771020046727111,45/45 atoms had data,1.0761739000000001,45/45 atoms had data,7.080937777777778,45/45 atoms had data,0.7825202666666667,45/45 atoms had data,1375.4088888888887,45/45 atoms had data,0.6514,45/45 atoms had data,1.2399999999999998,45,3
